"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 26 23:10:44 GMT 2024","Tue Mar 26 23:10:45 GMT 2024","657","","Add/Remove Elements page","","","","should be able to remove 10 element",""
"passed","Tue Mar 26 23:10:42 GMT 2024","Tue Mar 26 23:10:44 GMT 2024","1889","","Login page","","","","should error with invalid credentials",""
"passed","Tue Mar 26 23:10:44 GMT 2024","Tue Mar 26 23:10:44 GMT 2024","254","","Login page","","","","should error with no credentials",""
"passed","Tue Mar 26 23:10:49 GMT 2024","Tue Mar 26 23:10:51 GMT 2024","2082","","Login page","","","","should login with valid credentials",""
"passed","Tue Mar 26 23:10:49 GMT 2024","Tue Mar 26 23:10:51 GMT 2024","2069","","Login page","","","","should error with invalid credentials",""
"passed","Tue Mar 26 23:10:54 GMT 2024","Tue Mar 26 23:10:56 GMT 2024","1613","","Login page","","","","should login with valid credentials",""
"passed","Tue Mar 26 23:10:56 GMT 2024","Tue Mar 26 23:10:56 GMT 2024","389","","Login page","","","","should error with no credentials",""
"passed","Tue Mar 26 23:11:00 GMT 2024","Tue Mar 26 23:11:04 GMT 2024","4340","","Add/Remove Elements page","","","","should be able to remove 10 element",""
"passed","Tue Mar 26 23:10:55 GMT 2024","Tue Mar 26 23:10:56 GMT 2024","809","","Add/Remove Elements page","","","","should be able to remove 1 element",""
"passed","Tue Mar 26 23:10:57 GMT 2024","Tue Mar 26 23:10:58 GMT 2024","1013","","Add/Remove Elements page","","","","should be able to remove 2 element",""
"passed","Tue Mar 26 23:10:51 GMT 2024","Tue Mar 26 23:10:52 GMT 2024","404","","Login page","","","","should error with no credentials",""
"passed","Tue Mar 26 23:10:43 GMT 2024","Tue Mar 26 23:10:43 GMT 2024","185","","Add/Remove Elements page","","","","should be able to add 2 element",""
"passed","Tue Mar 26 23:10:51 GMT 2024","Tue Mar 26 23:10:51 GMT 2024","440","","Add/Remove Elements page","","","","should be able to remove 2 element",""
"passed","Tue Mar 26 23:10:51 GMT 2024","Tue Mar 26 23:10:51 GMT 2024","266","","Add/Remove Elements page","","","","should be able to add 2 element",""
"passed","Tue Mar 26 23:10:56 GMT 2024","Tue Mar 26 23:10:57 GMT 2024","626","","Add/Remove Elements page","","","","should be able to add 2 element",""
"passed","Tue Mar 26 23:10:49 GMT 2024","Tue Mar 26 23:10:51 GMT 2024","1489","","Add/Remove Elements page","","","","should be able to add 1 element",""
"passed","Tue Mar 26 23:10:51 GMT 2024","Tue Mar 26 23:10:52 GMT 2024","695","","Add/Remove Elements page","","","","should be able to add 10 element",""
"passed","Tue Mar 26 23:10:52 GMT 2024","Tue Mar 26 23:10:53 GMT 2024","1138","","Add/Remove Elements page","","","","should be able to remove 10 element",""
"passed","Tue Mar 26 23:10:54 GMT 2024","Tue Mar 26 23:10:55 GMT 2024","1173","","Add/Remove Elements page","","","","should be able to add 1 element",""
"passed","Tue Mar 26 23:10:43 GMT 2024","Tue Mar 26 23:10:44 GMT 2024","279","","Add/Remove Elements page","","","","should be able to remove 2 element",""
"passed","Tue Mar 26 23:10:54 GMT 2024","Tue Mar 26 23:10:56 GMT 2024","1625","","Login page","","","","should error with invalid credentials",""
"passed","Tue Mar 26 23:10:43 GMT 2024","Tue Mar 26 23:10:43 GMT 2024","231","","Add/Remove Elements page","","","","should be able to remove 1 element",""
"passed","Tue Mar 26 23:10:51 GMT 2024","Tue Mar 26 23:10:51 GMT 2024","248","","Add/Remove Elements page","","","","should be able to remove 1 element",""
"passed","Tue Mar 26 23:10:42 GMT 2024","Tue Mar 26 23:10:44 GMT 2024","1892","","Login page","","","","should login with valid credentials",""
"passed","Tue Mar 26 23:10:42 GMT 2024","Tue Mar 26 23:10:43 GMT 2024","1323","","Add/Remove Elements page","","","","should be able to add 1 element",""
"passed","Tue Mar 26 23:10:44 GMT 2024","Tue Mar 26 23:10:44 GMT 2024","460","","Add/Remove Elements page","","","","should be able to add 10 element",""
"passed","Tue Mar 26 23:10:58 GMT 2024","Tue Mar 26 23:11:00 GMT 2024","2260","","Add/Remove Elements page","","","","should be able to add 10 element",""
